phone,screen_size,paresed_price,announced_year,length_mm,width_mm,depth_mm,weight_oz,screen ratio,touchscreen,total_pixels,card_slot,battery_size,bluetooth_m,fast_chaging_power,SAR_EU_head,storage,lens_count,removable_B_Removable,cores_hexa,cores_octa,cores_quad,cores_single,gpu_manufacturer_Broadcom,gpu_manufacturer_Mali,gpu_manufacturer_NO,gpu_manufacturer_PowerVR,gpu_manufacturer_ULP,gpu_manufacturer_Vivante,wlan_ac,wlan_ax,wlan_g,wlan_n,network_g_4g,network_g_5g,network_g_nan
Galaxy On6,5.6,100,2018,149.3,70.2,8.2,5.43,0.759,1,1065600.0,1,3000.0,4,0,0.81,65536.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy J7 (2018),5.5,200,2018,153.2,76.2,8.6,6.38,0.7140000000000001,1,921600.0,1,3300.0,4,0,0.5218382352941175,32768.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy J3 (2018),5.0,150,2018,142.7,70.1,8.9,5.36,0.6890000000000001,1,921600.0,1,2600.0,4,0,0.5218382352941175,16384.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy A8 Star (A9 Star),6.3,350,2018,162.4,77.0,7.6,6.74,0.8059999999999999,1,2397600.0,1,3700.0,5,1,0.43,65536.0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy S Light Luxury,5.8,400,2018,148.9,68.1,8.0,5.29,0.8420000000000001,1,2397600.0,1,3000.0,5,0,0.5218382352941175,65536.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy J8,6.0,250,2018,159.2,75.7,8.2,6.24,0.758,1,1065600.0,1,3500.0,4,0,0.57,65536.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy J6,5.6,180,2018,149.3,70.2,8.2,5.43,0.765,1,1065600.0,1,3000.0,4,0,0.81,65536.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy J4,5.5,140,2018,151.7,77.2,8.1,6.17,0.7120000000000001,1,921600.0,1,3000.0,4,0,0.5218382352941175,32768.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy A6+ (2018),6.0,280,2018,160.2,75.7,7.9,6.56,0.753,1,2397600.0,1,3500.0,4,0,0.5218382352941175,65536.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy A6 (2018),5.6,200,2018,149.9,70.8,7.7,5.71,0.75,1,1065600.0,1,3000.0,4,0,0.49,65536.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
