,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,3.5mm jack,WLAN,Bluetooth,GPS,USB,Sensors,,SAR EU,Price,Features,NFC,Protection,Triple,Charging,SAR,5G,Quad,Dual,Performance,Display,Camera,Audio quality,GPRS,EDGE,Infrared port,removable_B
Galaxy A9 (2016),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, December","Available. Released 2016, January",161.7 x 80.9 x 7.4 mm (6.37 x 3.19 x 0.29 in),200 g (7.05 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~75.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Adreno 510,"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM","8 MP, f/1.9, 24mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 4000 mAh battery,0.18 W/kg (head) 0.55 W/kg (body),About 200 EUR,"LED flash, panorama, HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 18W,1.19 W/kg (head) 1.33 W/kg (body),,,,Basemark OS II 2.0: 1529 / Basemark X: 15290,"Contrast ratio: Infinite (nominal), 3.817 (sunlight)",Photo / Video,,,,,Non-removable
Galaxy A7 (2016),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, December","Available. Released 2015, December",151.5 x 74.1 x 7.3 mm (5.96 x 2.92 x 0.29 in),172 g (6.07 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~74.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7580 OctaQualcomm MSM8939 Snapdragon 615 (28 nm) - China,Octa-core 1.6 GHz Cortex-A53Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - China,Mali-T720MP2Adreno 405 - China,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only","16 GB, 3 GB RAM","5 MP, f/1.9, 24mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3300 mAh battery,0.41 W/kg (head) 0.55 W/kg (body),About 190 EUR,"LED flash, panorama, HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 18W,1.19 W/kg (head) 1.25 W/kg (body),,,,,,Photo / Video,,,,,Non-removable
Galaxy A5 (2016),GSM / UMTS / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, December","Available. Released 2015, December",144.8 x 71 x 7.3 mm (5.70 x 2.80 x 0.29 in),155 g (5.47 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7580 OctaQualcomm MSM8939 Snapdragon 615 (28 nm) - China only,Octa-core 1.6 GHz Cortex-A53Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - China only,Mali-T720MP2Adreno 405 - China only,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only","16 GB, 2 GB RAM","5 MP, f/1.9, 24mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS","microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 2900 mAh battery,0.29 W/kg (head) 0.47 W/kg (body),About 160 EUR,"LED flash, panorama, HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 18W,0.29 W/kg (head) 0.47 W/kg (body),,,,Basemark OS II 2.0: 833 / Basemark X: 4947,"Contrast ratio: Infinite (nominal), 3.789 (sunlight)3.789",Photo / Video,Noise -93.4dB / Crosstalk -53.0dB,,,,Non-removable
Galaxy A3 (2016),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps or LTE-A (2CA) Cat6 300/50 Mbps","2015, December","Available. Released 2015, December",134.5 x 65.2 x 7.3 mm (5.30 x 2.57 x 0.29 in),132 g (4.66 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~69.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7578Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.5 GHz Cortex-A53,Mali-T720MP2Adreno 306,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only","16 GB, 1.5 GB RAM","5 MP, f/1.9",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 2300 mAh battery,0.49 W/kg (head) 0.62 W/kg (body),About 130 EUR,"LED flash, panorama",Yes,Corning Gorilla Glass 4,,,1.31 W/kg (head) 1.27 W/kg (body),,,,,,,,,,,Non-removable
Galaxy Express Prime,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, April","Available. Released 2016, April",142.2 x 71.1 x 7.9 mm (5.60 x 2.80 x 0.31 in),138.9 g (4.90 oz),,Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Exynos 3475 Quad (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-T720,"microSD, up to 256 GB (dedicated slot)",16 GB 1.5 GB RAM,2 MP,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 2600 mAh battery,,About 110 EUR,"LED flash, HDR",,Asahi Dragontrail X Glass,,,,,,,,,,,,,,Removable
Galaxy J3 (2016),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, November","Available. Released 2016, January",142.3 x 71 x 7.9 mm (5.60 x 2.80 x 0.31 in),138 g (4.87 oz),Plastic body,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)Nano-SIM (USA models only)","Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 5.1.1 (Lollipop) or Android 6.0 (Marshmallow), upgradable to 7.1.1 (Nougat)",Spreadtrum SC9830Exynos 3475 Quad (28 nm) - USA,Quad-core 1.5 GHz Cortex-A7Quad-core 1.3 GHz Cortex-A7 - USA,Mali-400Mali-T720 - USA,"microSD, up to 256 GB (dedicated slot)","8/16 GB, 1.5/2 GB RAM","2 MP (USA) 5 MP, f/2.2 (all other regions)",720p@30fps,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0/4.1, A2DP, LE","Yes, with A-GPS, GLONASS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Removable Li-Ion 2600 mAh battery,0.48 W/kg (head) 0.42 W/kg (body),About 120 EUR,"LED flash, HDR",Yes (market dependent),Asahi Dragontrail Glass,,,1.17 W/kg (head) 1.12 W/kg (body),,,,Basemark OS II: 399 / Basemark OS II 2.0: 326Basemark X: 1424,"Contrast ratio: Infinite (nominal), 3.523 (sunlight)",Photo / Video,Noise -92.4dB / Crosstalk -91.3dB,,,,Removable
Galaxy View,HSPA / LTE,,HSDPA 900 / 2100 - T677,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - T677","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, October","Available. Released 2015, November",451.8 x 275.8 x 11.9 mm (17.79 x 10.86 x 0.47 in),2.65 kg (5.84 lb),,Nano-SIM,"TFT capacitive touchscreen, 16M colors","18.4 inches, 933.3 cm2 (~74.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~120 ppi density)",Android 5.1.1 (Lollipop),Exynos 7580 Octa,Octa-core 1.6 GHz Cortex-A53,Mali-T720MP2,"microSD, up to 256 GB (dedicated slot)","32/64 GB, 2 GB RAM","2.1 MP, f/2.2",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB 2.0,Accelerometer,"Non-removable Li-Po 5700 mAh battery (64 Wh, 11.3V)",0.46 W/kg (body),About 500 EUR,,,,,,1.09 W/kg (body),,,,,,,,,,,Non-removable
Galaxy On7,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - G600FY,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300) - G600FY","HSPA, LTE Cat4 150/50 Mbps","2015, October","Available. Released 2015, November",151.8 x 77.5 x 8.2 mm (5.98 x 3.05 x 0.32 in),172 g (6.07 oz),Plastic body,"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 256 GB (dedicated slot)","8 GB, 1.5 GB RAM","5 MP, f/2.2",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 3000 mAh battery,0.38 W/kg (head) 0.54 W/kg (body),About 180 EUR,LED flash,,,,,0.79 W/kg (head) 0.90 W/kg (body),,,,,,,,,,,Removable
Galaxy On5,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 20(800), 40(2300)","HSPA, LTE Cat4 150/50 Mbps","2015, October","Available. Released 2015, November",142.3 x 72.1 x 8.5 mm (5.60 x 2.84 x 0.33 in),149 g (5.26 oz),Plastic body,"Dual SIM (Micro-SIM, dual stand-by) or Single SIM (Nano-SIM) - T-Mobile only","TFT capacitive touchscreen, 16M colors","5.0 inches, 71.8 cm2 (~70.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~288 ppi density)",Android 5.1 (Lollipop)Android 6.0 (Marshmallow) - T-Mobile,Exynos 3475 Quad (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-T720,"microSD, up to 256 GB (dedicated slot)","8 GB, 1.5 GB RAM","5 MP, f/2.2",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 2600 mAh battery,0.40 W/kg (head) 0.31 W/kg (body),About 140 EUR,LED flash,,,,,1.40 W/kg (head) 1.09 W/kg (body),,,,,,,,,,,Removable
Z3,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA,"2015, October","Available. Released 2015, October",141.6 x 70 x 7.9 mm (5.57 x 2.76 x 0.31 in),137 g (4.83 oz),,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Tizen 2.3, upgradable to 2.4",Spreadtrum SC7730,Quad-core 1.3 GHz Cortex-A7,Mali-400,"microSD, up to 128 GB (uses shared SIM slot)","8 GB, 1 GB RAM","5 MP, f/2.2",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE","Yes, with A-GPS, GLONASS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Removable Li-Ion 2600 mAh battery,0.53 W/kg (head) 0.48 W/kg (body),About 110 EUR,"LED flash, panorama, HDR",,,,,0.70 W/kg (head) 0.77 W/kg (body),,,,,,,,,,,Removable
Galaxy J1 Ace,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 2100 - J111F,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - J110F","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, September","Available. Released 2015, October",130.1 x 67.6 x 9.5 mm (5.12 x 2.66 x 0.37 in),131 g (4.62 oz),Plastic body,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 52.6 cm2 (~59.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)","Android 4.4.4 (KitKat), upgradable to 5.1.1 (Lollipop)",Spreadtrum SC9830Marvell PXA1908 - J110L,Quad-core 1.5 GHz Cortex-A7 - J111FQuad-core 1.2 GHz Cortex-A7Dual-core 1.3 GHz Cortex-A53- J110L,Mali-400MP2Vivante GC7000 UL - J110L,"microSD, up to 256 GB (dedicated slot)","4 GB, 512 MB RAM - J110L4 GB, 768 MB RAM - J110F, J110G8 GB, 1 GB RAM - J110M, J111F",2 MP,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1900 mAh battery,0.69 W/kg (head) 0.53 W/kg (body),About 140 EUR,"LED flash, panorama",,,,,1.57 W/kg (head) 1.22 W/kg (body),,,,,,,,,,,Removable
Gear S2 classic,No cellular connectivity,,,,,"2015, August","Available. Released 2015, October",43.6 x 39.9 x 11.4 mm (1.72 x 1.57 x 0.45 in),42 g (1.48 oz),Stainless Steel,No,"Super AMOLED capacitive touchscreen, 16M colors","1.2 inches, 9.2 cm2 (~52.6% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~302 ppi density)",Tizen-based wearable platform 2.3.2,Exynos 3250 Dual,Dual-core 1.0 GHz Cortex-A7,Mali-400MP2,No,"4 GB, 512 MB RAM",,,No,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE",No,No,"Accelerometer, gyro, heart rate, barometer",Non-removable Li-Ion 250 mAh battery,,About 200 EUR,,Yes,Corning Gorilla Glass 3,,Qi wireless charging,,,,,,,,,No,No,,Non-removable
Gear S2,No cellular connectivity,,,,,"2015, August","Available. Released 2015, October",49.8 x 42.3 x 11.4 mm (1.96 x 1.67 x 0.45 in),47 g (1.66 oz),Stainless Steel,No,"Super AMOLED capacitive touchscreen, 16M colors","1.2 inches, 9.2 cm2 (~43.5% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~302 ppi density)",Tizen-based wearable platform 2.3.2,Exynos 3250 Dual,Dual-core 1.0 GHz Cortex-A7,Mali-400MP2,No,"4 GB, 512 MB RAM",,,No,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE",No,No,"Accelerometer, gyro, heart rate, barometer",Non-removable Li-Ion 250 mAh battery,,About 170 EUR,,Yes,Corning Gorilla Glass 3,,Qi wireless charging,,,,,,,,,No,No,,Non-removable
Gear S2 3G,GSM / HSPA,GSM 900 / 1800,HSDPA 900 / 2100,,HSPA,"2015, August","Available. Released 2015, October",51.8 x 44 x 13.4 mm (2.04 x 1.73 x 0.53 in),51 g (1.80 oz),Stainless Steel,Electronic SIM card (eSIM),"Super AMOLED capacitive touchscreen, 16M colors","1.2 inches, 9.2 cm2 (~40.2% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~302 ppi density)",Tizen-based wearable platform 2.3.2,Qualcomm MSM8x26,Dual-core 1.0 GHz,,No,"4 GB, 512 MB RAM",,,No,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE","Yes, with A-GPS",No,"Accelerometer, gyro, heart rate, barometer",Non-removable Li-Ion 300 mAh battery,0.05 W/kg (head) 0.30 W/kg (body),About 250 EUR,,Yes,Corning Gorilla Glass 3,,Qi wireless charging,,,,,,,,,,,,Non-removable
Galaxy Note5 (USA),GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"HSDPA 850 / 900 / 1900 / 2100 - N920V, N920R","LTE band 2(1900), 3(1800), 4(1700/2100), 7(2600), 13(700) - N920V","HSPA 42.2/5.76 Mbps, LTE-A (3CA), EV-DO Rev.A 3.1 Mbps","2015, August","Available. Released 2015, August",153.2 x 76.1 x 7.6 mm (6.03 x 3.00 x 0.30 in),171 g (6.03 oz),,Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~76.8% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7420 Octa (14 nm),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,"32/64 GB, 4 GB RAM","5 MP, f/1.9, 22mm (wide)",1440p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3000 mAh battery,0.51 W/kg (head) 0.56 W/kg (body),About 450 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W (Quick Charge 2.0) PMA wireless charging,1.16 W/kg (head) 1.48 W/kg (body),,,,,,,,,,,Non-removable
Galaxy Note5,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps/ LTE-A (3CA) Cat9 450/50 Mbps","2015, August","Available. Released 2015, August",153.2 x 76.1 x 7.6 mm (6.03 x 3.00 x 0.30 in),171 g (6.03 oz),"Front/back glass (Gorilla Glass 4), aluminum frame",Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm2 (~75.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7420 Octa (14 nm),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,"32/64/128 GB, 4 GB RAM","5 MP, f/1.9, 22mm (wide), 1/4.1"", 1.34µm",1440p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Po 3000 mAh battery,0.45 W/kg (head) 0.58 W/kg (body),About 450 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W (Quick Charge 2.0) Qi/PMA wireless charging (market dependent),1.53 W/kg (head) 1.28 W/kg (body),,,,Basemark OS II: 1852 / Basemark OS II 2.0: 1880Basemark X: 26281,"Contrast ratio: Infinite (nominal), 4.090 (sunlight)",Photo / Video,Noise -93.6dB / Crosstalk -94.7dB,,,,Non-removable
Galaxy Note5 Duos,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSDPA 850 / 900 / 1900 / 2100 - N9208, N920C","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - N9208, N9200","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps/ LTE-A (3CA) Cat9 450/50 Mbps","2015, August","Available. Released 2015, August",153.2 x 76.1 x 7.6 mm (6.03 x 3.00 x 0.30 in),171 g (6.03 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~76.8% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7420 Octa (14 nm),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,"32/64 GB, 4 GB RAM","5 MP, f/1.9, 22mm (wide)",1440p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Po 3000 mAh battery,0.45 W/kg (head) 0.58 W/kg (body),About 450 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W (Quick Charge 2.0) Qi/PMA wireless charging (market dependent),,,,,,,,,,,,Non-removable
Galaxy S6 edge+ (USA),GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"HSDPA 850 / 900 / 1900 / 2100 - G928V, G928P, G928R","LTE band 2(1900), 3(1800), 4(1700/2100), 7(2600), 13(700) - G928V","HSPA 42.2/5.76 Mbps, LTE-A (2CA), EV-DO Rev.A 3.1 Mbps","2015, August","Available. Released 2015, August",154.4 x 75.8 x 6.9 mm (6.08 x 2.98 x 0.27 in),153 g (5.40 oz),"Front/back glass (Gorilla Glass 4), aluminum frame",Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~76.5% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",Android 5.1.1 (Lollipop); TouchWiz UI,Exynos 7420 Octa (14 nm),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,"32/64 GB, 4 GB RAM","5 MP, f/1.9, 22mm (wide)",1440p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3000 mAh battery,,About 500 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W Qi/PMA wireless charging (market dependent),,,,,,,,,,,,Non-removable
Galaxy S6 edge+,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"HSDPA 850 / 1700(AWS) / 1900 / 2100 - G928T, G928A","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 20(800) - G928T","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps/ LTE-A (3CA) Cat9 450/50 Mbps","2015, August","Available. Released 2015, August",154.4 x 75.8 x 6.9 mm (6.08 x 2.98 x 0.27 in),153 g (5.40 oz),"Front/back glass (Gorilla Glass 4), aluminum frame",Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm2 (~75.6% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat); TouchWiz UI",Exynos 7420 Octa (14 nm),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,"32/64 GB, 4 GB RAM","5 MP, f/1.9, 22mm (wide)",1440p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3000 mAh battery,0.22 W/kg (head) 0.58 W/kg (body),About 450 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W Qi/PMA wireless charging (market dependent),1.22 W/kg (head) 1.48 W/kg (body),,,,Basemark OS II: 1833 / Basemark X: 26333,"Contrast ratio: Infinite (nominal), 4.615 (sunlight)",Photo / Video,Noise -93.3dB / Crosstalk -93.7dB,,,,Non-removable
