Unnamed: 0,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,3.5mm jack,WLAN,Bluetooth,GPS,USB,Sensors,Unnamed: 29,SAR EU,Price,Features,NFC,Protection,Triple,Charging,SAR,5G,Quad,Dual,Performance,Display,Camera,Audio quality,GPRS,EDGE,Infrared port,removable_B,tech_gsm,tech_hspa,tech_lte,tech_cdma,tech_evdo,tech_5g,tech_umts,tech_cdma2000,screen_size,paresed_price,high_speed|0,high_speed|1,low_speed|0,low_speed|1
Galaxy S7 active,"2016, June","Available. Released 2016, June",148.8 x 74.9 x 9.9 mm (5.86 x 2.95 x 0.39 in),184.8 g (6.53 oz),,Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.1 inches, 71.7 cm2 (~64.3% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~576 ppi density)","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); TouchWiz UI",Qualcomm MSM8996 Snapdragon 820 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,"microSD, up to 1 TB (dedicated slot)","32 GB, 4 GB RAM","5 MP, f/1.7, 22mm (wide), 1/4.1"", 1.34µm",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 4000 mAh battery,0.32 W/kg (head) 0.98 W/kg (body),About 360 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W (Quick Charge 2.0) Qi/PMA wireless charging (market dependent),0.92 W/kg (head) 0.75 W/kg (body),,,,Basemark OS II 2.0: 2487 / Basemark X: 32362,,,Noise -94.3dB / Crosstalk -93.4dB,,,,Non-removable,1,1,1,0,0,0,0,0,5.1,360,,,,
Galaxy J3 Pro,"2016, June","Available. Released 2016, June",142.2 x 71.3 x 8 mm (5.60 x 2.81 x 0.31 in),139 g (4.90 oz),"Front glass, aluminum body","Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM","5 MP, f/2.2",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Removable Li-Ion 2600 mAh battery,0.43 W/kg (head) 1.37 W/kg (body),About 130 EUR,"LED flash, HDR",Yes,,,,,,,,,,,,,,,Removable,1,1,1,1,1,0,0,0,5.0,130,,,,
Galaxy C7,"2016, May","Available. Released 2016, June",156.6 x 77.2 x 6.8 mm (6.17 x 3.04 x 0.27 in),169 g (5.96 oz),"Front glass, aluminum body","Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~74.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~386 ppi density)","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,"microSD, up to 256 GB (uses shared SIM slot)","32/64 GB, 4 GB RAM","8 MP, f/1.9",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS/ BDS (region dependent)",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3300 mAh battery,,About 250 EUR,"Dual-LED dual-tone flash, panorama, HDR",Yes,,,Fast battery charging 18W (Quick Charge 3.0),,,,,Basemark OS II: 1368 / Basemark OS II 2.0: 1222Basemark X: 10445,"Contrast ratio: Infinite (nominal), 3.896 (sunlight)",Photo / Video,Noise-95.3dB / Crosstalk -92.2dB,,,,Non-removable,1,1,1,0,0,0,0,0,5.7,250,,,,
Galaxy C5,"2016, May","Available. Released 2016, June",145.9 x 72 x 6.7 mm (5.74 x 2.83 x 0.26 in),143 g (5.04 oz),"Front glass, aluminum body","Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~71.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,"microSD, up to 256 GB (uses shared SIM slot)","32/64 GB, 4 GB RAM","8 MP, f/1.9",,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS/ BDS (region dependent)",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 2600 mAh battery,0.45 W/kg (head) 1.07 W/kg (body),About 220 EUR,"Dual-LED dual-tone flash, panorama, HDR",Yes,,,Fast battery charging 18W,,,,,Basemark OS II: 1007 / Basemark OS II 2.0: 815Basemark X: 5039,"Contrast ratio: Infinite (nominal), 3.911 (sunlight)",Photo / Video,Noise-93.1dB / Crosstalk -68.3dB,,,,Non-removable,1,1,1,0,0,0,0,0,5.2,220,,,,
Galaxy A9 Pro (2016),"2016, March","Available. Released 2016, May",161.7 x 80.9 x 7.9 mm (6.37 x 3.19 x 0.31 in),210 g (7.41 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~75.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo); Experience UI 9",Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Adreno 510,"microSD, up to 256 GB (dedicated slot)","32 GB, 4 GB RAM","8 MP, f/1.9",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 5000 mAh battery,0.62 W/kg (head) 1.32 W/kg (body),About 300 EUR,"LED flash, panorama, HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 18W,,,,,,,,,,,,Non-removable,1,1,1,0,0,0,0,0,6.0,300,,,,
Galaxy J7 (2016),"2016, March","Available. Released 2016, April",151.7 x 76 x 7.8 mm (5.97 x 2.99 x 0.31 in),170 g (6.00 oz),"Aluminum frame, plastic back","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 6.0.1 (Marshmallow), upgradable to Android 8.1 (Oreo)",Qualcomm MSM8952 Snapdragon 617 (28 nm)Exynos 7870 Octa (14 nm),Octa-core (4x1.6 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)Octa-core 1.6 GHz Cortex-A53,Adreno 405Mali-T830 MP1,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM","5 MP, f/1.9",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Removable Li-Ion 3300 mAh battery,0.35 W/kg (head) 1.39 W/kg (body),About 230 EUR,LED flash,Yes (market dependent for dual-SIM model),,,,1.10 W/kg (head) 1.01 W/kg (body),,,,Basemark OS II: 999 / Basemark OS II 2.0: 1007Basemark X: 11199,"Contrast ratio: Infinite (nominal), 3.902 (sunlight)",Photo / Video,Noise -92.4dB / Crosstalk -92.3dB,,,,Removable,1,1,1,0,0,0,0,0,5.5,230,,,,
Galaxy J5 (2016),"2016, March","Available. Released 2016, April",145.8 x 72.3 x 8.1 mm (5.74 x 2.85 x 0.32 in),159 g (5.61 oz),"Aluminum frame, plastic body","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Android 6.0.1 (Marshmallow), upgradable to 7.1.1 (Nougat)",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM","5 MP, f/1.9",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Removable Li-Ion 3100 mAh battery,0.45 W/kg (head) 1.17 W/kg (body),About 190 EUR,LED flash,Yes (market dependant),,,,,,,,Basemark OS II: 576 / Basemark OS II 2.0: 2180,"Contrast ratio: Infinite (nominal), 3.378 (sunlight)",Photo / Video,Noise -92.4dB / Crosstalk -95.4dB,,,,Removable,1,1,1,0,0,0,0,0,5.2,190,,,,
Galaxy Tab A 7.0 (2016),"2016, March","Available. Released 2016, March",186.9 x 108.8 x 8.7 mm (7.36 x 4.28 x 0.34 in),283 g (9.98 oz),Plastic body,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~69.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 5.1.1 (Lollipop),Qualcomm MSM8916 Snapdragon 410 (28 nm)Spreadtrum SC9830,Quad-core 1.3 GHz Cortex-A53Quad-core 1.5 GHz Cortex-A7,Adreno 306Mali-400MP2,"microSD, up to 256 GB (dedicated slot)","8 GB, 1.5 GB RAM","2 MP, f/2.2",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,Accelerometer,Non-removable Li-Ion 4000 mAh battery,0.64 W/kg (head) 0.85 W/kg (body),About 130 EUR,Panorama,,,,,,,,,,,,,,,,Non-removable,1,1,1,0,0,0,0,0,7.0,130,,,,
Galaxy S7,"2016, February","Available. Released 2016, March",142.4 x 69.6 x 7.9 mm (5.61 x 2.74 x 0.31 in),152 g (5.36 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) - G930FHybrid Dual SIM (Nano-SIM, dual stand-by) - G930FD","Super AMOLED capacitive touchscreen, 16M colors","5.1 inches, 71.5 cm2 (~72.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~577 ppi density)","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo); TouchWiz UI",Exynos 8890 Octa (14 nm),Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53),Mali-T880 MP12,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only","32/64 GB, 4 GB RAM","5 MP, f/1.7, 22mm (wide), 1/4.1"", 1.34µm",1440p,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3000 mAh battery,0.41 W/kg (head) 0.62 W/kg (body),About 300 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W (Quick Charge 2.0) Qi/PMA wireless charging (market dependent),1.40 W/kg (head) 1.59 W/kg (body),,,,Basemark OS II: 2004 / Basemark OS II 2.0: 2128Basemark X: 32345,"Contrast ratio: Infinite (nominal), 4.376 (sunlight)",Photo / Video,Noise -92.5dB / Crosstalk -92.7dB,,,,Non-removable,1,1,1,0,0,0,0,0,5.1,300,,,,
Galaxy S7 edge,"2016, February","Available. Released 2016, March",150.9 x 72.6 x 7.7 mm (5.94 x 2.86 x 0.30 in),157 g (5.54 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) - G935F, G935W8Hybrid Dual SIM (Nano-SIM, dual stand-by) - G935FD","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~76.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo); TouchWiz UI","Qualcomm MSM8996 Snapdragon 820 (14 nm) - G9350Exynos 8890 Octa (14 nm) - G935FD, G935F, G935W8","Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo) - G9350Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53) - G935FD, G935F, G935W8","Adreno 530 - G9350Mali-T880 MP12 - G935FD, G935F, G935W8","microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only","32/64/128 GB, 4 GB RAM","5 MP, f/1.7, 22mm (wide), 1/4.1"", 1.34µm",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3600 mAh battery,0.26 W/kg (head) 1.43 W/kg (body),About 340 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W (Quick Charge 2.0) Qi/PMA wireless charging (market dependent),0.56 W/kg (head) 0.66 W/kg (body),,,,Basemark OS II: 2107 / Basemark OS II 2.0: 2050Basemark X: 28480,"Contrast ratio: Infinite (nominal), 4.439 (sunlight)",Photo / Video,Noise -92.5dB / Crosstalk -92.2dB,,,,Non-removable,1,1,1,0,0,0,0,0,5.5,340,,,,
Galaxy S7 edge (USA),"2016, February","Available. Released 2016, March",150.9 x 72.6 x 7.7 mm (5.94 x 2.86 x 0.30 in),157 g (5.54 oz),"Front/back glass (Gorilla Glass 4), aluminum frame",Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~76.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo); TouchWiz UI",Qualcomm MSM8996 Snapdragon 820 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,"microSD, up to 1 TB (dedicated slot)","32 GB, 4 GB RAM","5 MP, f/1.7, 22mm (wide), 1/4.1"", 1.34µm",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3600 mAh battery,,About 350 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W (Quick Charge 2.0) PMA wireless charging,0.64 W/kg (head) 1.59 W/kg (body),,,,,,,,,,,Non-removable,1,1,1,1,1,0,0,0,5.5,350,,,,
Galaxy S7 (USA),"2016, February","Available. Released 2016, March",142.4 x 69.6 x 7.9 mm (5.61 x 2.74 x 0.31 in),152 g (5.36 oz),"Front/back glass (Gorilla Glass 4), aluminum frame",Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.1 inches, 71.7 cm2 (~72.3% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~576 ppi density)","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo); TouchWiz UI",Qualcomm MSM8996 Snapdragon 820 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,"microSD, up to 1 TB (dedicated slot)","32 GB, 4 GB RAM","5 MP, f/1.7, 22mm (wide), 1/4.1"", 1.34µm",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3000 mAh battery,,About 320 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W (Quick Charge 2.0) PMA wireless charging,1.24 W/kg (head) 1.59 W/kg (body),,,,,,,,,,,Non-removable,1,1,1,1,1,0,0,0,5.1,320,,,,
Galaxy J1 Nxt,"2016, February","Available. Released 2016, February",126.6 x 63.1 x 10.8 mm (4.98 x 2.48 x 0.43 in),123 g (4.34 oz),,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~57.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 5.1 (Lollipop),Spreadtrum SC9830,Quad-core 1.2 GHz Cortex-A7,Mali-400MP2,"microSD, up to 256 GB (uses shared SIM slot)","8 GB, 1 GB RAM - Galaxy J1 Nxt8 GB, 768 MB RAM - Galaxy J1 mini",VGA,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,Accelerometer,Removable Li-Ion 1500 mAh battery,0.76 W/kg (head) 0.47 W/kg (body),About 90 EUR,,,,,,,,,,,,,,,,,Removable,1,1,0,0,0,0,0,0,4.0,90,,,,
Gear S2 classic 3G,"2016, February","Available. Released 2016, April",44 x 46.9 x 13.4 mm (1.73 x 1.85 x 0.53 in),54 g (1.90 oz),Stainless Steel,Electronic SIM card (eSIM),"Super AMOLED capacitive touchscreen, 16M colors","1.2 inches, 4.6 cm2 (~22.5% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~424 ppi density)",Tizen-based wearable platform 2.3.2,Exynos 3250 Dual,Dual-core 1.0 GHz Cortex-A7,Mali-400MP2,No,"4 GB, 512 MB RAM",,,No,Wi-Fi 802.11 b/g/n/e,"4.1, A2DP, LE",No,No,"Accelerometer, gyro, heart rate, barometer",Non-removable Li-Ion 300 mAh battery,,About 250 EUR,,Yes,Corning Gorilla Glass 3,,Qi wireless charging,,,,,,,,,No,No,,Non-removable,1,1,0,0,0,0,0,0,1.2,250,,,,
Galaxy J1 (2016),"2016, January","Available. Released 2016, January",132.6 x 69.3 x 8.9 mm (5.22 x 2.73 x 0.35 in),131 g (4.62 oz),Plastic body,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.5 inches, 57.6 cm2 (~62.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)",Android 5.1.1 (Lollipop),Spreadtrum SC9830,Quad-core 1.3 GHz Cortex-A7,Mali-400,"microSD, up to 256 GB (dedicated slot)","8 GB, 1 GB RAM","2 MP, f/2.2",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 2050 mAh battery,0.70 W/kg (head) 0.59 W/kg (body),About 130 EUR,LED flash,,,,,1.58 W/kg (head) 1.18 W/kg (body),,,,,,,,,,,Removable,1,1,1,0,0,0,0,0,4.5,130,,,,
Galaxy A9 (2016),"2015, December","Available. Released 2016, January",161.7 x 80.9 x 7.4 mm (6.37 x 3.19 x 0.29 in),200 g (7.05 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~75.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Adreno 510,"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM","8 MP, f/1.9, 24mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 4000 mAh battery,0.18 W/kg (head) 0.55 W/kg (body),About 200 EUR,"LED flash, panorama, HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 18W,1.19 W/kg (head) 1.33 W/kg (body),,,,Basemark OS II 2.0: 1529 / Basemark X: 15290,"Contrast ratio: Infinite (nominal), 3.817 (sunlight)",Photo / Video,,,,,Non-removable,1,1,1,0,0,0,0,0,6.0,200,,,,
Galaxy A7 (2016),"2015, December","Available. Released 2015, December",151.5 x 74.1 x 7.3 mm (5.96 x 2.92 x 0.29 in),172 g (6.07 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~74.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7580 OctaQualcomm MSM8939 Snapdragon 615 (28 nm) - China,Octa-core 1.6 GHz Cortex-A53Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - China,Mali-T720MP2Adreno 405 - China,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only","16 GB, 3 GB RAM","5 MP, f/1.9, 24mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3300 mAh battery,0.41 W/kg (head) 0.55 W/kg (body),About 190 EUR,"LED flash, panorama, HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 18W,1.19 W/kg (head) 1.25 W/kg (body),,,,,,Photo / Video,,,,,Non-removable,1,1,1,0,0,0,0,0,5.5,190,,,,
Galaxy A5 (2016),"2015, December","Available. Released 2015, December",144.8 x 71 x 7.3 mm (5.70 x 2.80 x 0.29 in),155 g (5.47 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7580 OctaQualcomm MSM8939 Snapdragon 615 (28 nm) - China only,Octa-core 1.6 GHz Cortex-A53Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - China only,Mali-T720MP2Adreno 405 - China only,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only","16 GB, 2 GB RAM","5 MP, f/1.9, 24mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS","microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 2900 mAh battery,0.29 W/kg (head) 0.47 W/kg (body),About 160 EUR,"LED flash, panorama, HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 18W,0.29 W/kg (head) 0.47 W/kg (body),,,,Basemark OS II 2.0: 833 / Basemark X: 4947,"Contrast ratio: Infinite (nominal), 3.789 (sunlight)3.789",Photo / Video,Noise -93.4dB / Crosstalk -53.0dB,,,,Non-removable,1,1,1,0,0,0,1,0,5.2,160,,,,
Galaxy A3 (2016),"2015, December","Available. Released 2015, December",134.5 x 65.2 x 7.3 mm (5.30 x 2.57 x 0.29 in),132 g (4.66 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~69.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7578Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.5 GHz Cortex-A53,Mali-T720MP2Adreno 306,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only","16 GB, 1.5 GB RAM","5 MP, f/1.9",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 2300 mAh battery,0.49 W/kg (head) 0.62 W/kg (body),About 130 EUR,"LED flash, panorama",Yes,Corning Gorilla Glass 4,,,1.31 W/kg (head) 1.27 W/kg (body),,,,,,,,,,,Non-removable,1,1,1,0,0,0,0,0,4.7,130,,,,
Galaxy Express Prime,"2016, April","Available. Released 2016, April",142.2 x 71.1 x 7.9 mm (5.60 x 2.80 x 0.31 in),138.9 g (4.90 oz),,Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Exynos 3475 Quad (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-T720,"microSD, up to 256 GB (dedicated slot)",16 GB 1.5 GB RAM,2 MP,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 2600 mAh battery,,About 110 EUR,"LED flash, HDR",,Asahi Dragontrail X Glass,,,,,,,,,,,,,,Removable,1,1,1,0,0,0,0,0,5.0,110,,,,
